OPERATOR_ADDRESS,VALIDATOR_NAME,STAKED_AMOUNT,VOTING_POWER,COMMISSION,STATUS
terravaloper1cl8j3r09vmlxf5zsq4xms7td8x2qcfml8637yf,🙏 uGaenn ⛅,4550000,0.88,5,Active
terravaloper1cs0dspacdhym4cwcm3f7suurfszvl6k5s9p06a,TdrSys,4520000,0.88,5,Active
terravaloper1axr9pdaf5u0jryrlzhs4twvyaj4rr49mmvywn8,TerraDactyl,4520000,0.87,10,Active
terravaloper1q8w4u2wyhx574m70gwe8km5za2ptanny9mnqy3,Ceres Ventures,4460000,0.86,5,Active
terravaloper1dvl464gpzxwru4a97q6pzqv7n7rcnxwlyspnau,Orion - Auto-Compound & Zero Fees,4380000,0.85,0,Active
terravaloper14q4vvp2vtmfcaejx4qy8nw9autudx0zjt30r24,Block-Foundry,4310000,0.84,9.99,Active
terravaloper1ygwhuksjq3nymd9n8kmceaxd3vxv97u7ja33aj,FreshLUNA.com,4310000,0.83,9.99,Active
terravaloper1mgpgp53tynj4djmckxdjhufa7q8lqqjuwnrlqm,Stakin,4210000,0.81,5,Active
terravaloper13e2s6ka2jcm6a0hueplhzyq2fxqrkgeyqpusda,Eclipse,4200000,0.81,5,Active
terravaloper1yh4u76y405t3ff9lyrzhhe8legjx9k3as5mujs,KingSuper,4080000,0.79,10,Active
terravaloper1yy5379nk24xffpq4egw7ue4ad3j7l79ma2enmz, AutoStake 🛡️ Slash Protected,4050000,0.78,5,Active
terravaloper1wzu2j73nvccghywtghku5ch59f67jykw58na64,Secure Secrets,3980000,0.77,5,Active
terravaloper1src9wvawtfl6ztxss8zu45zuxnwj4ytpnr30jn,Obi (Formerly Terra Bites),3850000,0.75,10,Active
terravaloper1znh6eq79l3z5l7ctnrjr2d8ksaght25lku6mlw,Luna Whale,3790000,0.73,20,Active
terravaloper150pqxd0j27mjg4yy4fafhkm7gfhsk8xvyfft0y,NITAWA,3750000,0.73,10,Active
terravaloper1ccwgk6gvgtm556gxe0v79p48nrgsey05w3fle4,Luna Station 88,3680000,0.71,5,Active
terravaloper1pervlaqpwmyh6t5dnly34t6d6wptstwt66tu20,Craig,3670000,0.71,5,Active
terravaloper1pgyelqv0hwjavgf6vhdm4e4pt766wfxxczu20l,High Stakes 🇨🇭,3590000,0.7,10,Active
terravaloper12y453v20w2dlv2y0vlepf88ng0r6sfsz6k7qm4,Sapient Nodes,3470000,0.67,5,Active
terravaloper1puzp2yjqps43x7nse33svljc550xjz35jxg432,Pro-Nodes75,3430000,0.66,5,Active
terravaloper1tfy452kxfcsa2353nenltade9esj7ffrc38gwn,Genesis Lab,3410000,0.66,7,Active
terravaloper1t3zvwaz7v3epg3f33waxajv4nj95mt8ma9yc7g,TTLG Money,3410000,0.66,5,Active
terravaloper1jncrqd24wtcdpes9y89qsh0jn5c8sayn92302l,Staker Space,3390000,0.66,5,Active
