VALIDATOR_NAME,STATUS,OPERATOR_ADDRESS,ASACCOUNT_ADDRESS,VOTING_POWER,STAKED_AMOUNT,SELF_DELEGATION_AMOUNT,COMMISSION
Pro-Nodes75,Active,terravaloper1puzp2yjqps43x7nse33svljc550xjz35jxg432,terra1puzp2yjqps43x7nse33svljc550xjz35jfygpe,0.63,3384553,3391.091764,5
Wave,Active,terravaloper1g50t9cxzhu0edk2r5lagmujupt722mhefxvzzy,terra1g50t9cxzhu0edk2r5lagmujupt722mheffqljh,0.81,4388332,1,15
Citadel.one Shut down starting July 5th,Jailed,terravaloper1d2hyv233pl8l62zn2zs3c8wc2skkphssc6vuyy,terra1d2hyv233pl8l62zn2zs3c8wc2skkphssc4qp5h,0,0,0,5
Zero,Inactive,terravaloper1yp9hzs5j7kuc99x0uude57zmvxf89w2ykvpy80,terra1yp9hzs5j7kuc99x0uude57zmvxf89w2ykrdehu,0,0,1,0
Spica Nova,Active,terravaloper1j5k9jank9kkwwjwce0ljy723xfppnpunv959l0,terra1j5k9jank9kkwwjwce0ljy723xfppnpunv2cc0u,0.45,2353063,1,10
Un Fuego,Active,terravaloper1aprcgxpt7zynnklu5sp2q0f0l3xh8d6lcq4f2f,terra1aprcgxpt7zynnklu5sp2q0f0l3xh8d6lc0e566,0.18,892359,1,5
Obi (Formerly Terra Bites),Active,terravaloper1src9wvawtfl6ztxss8zu45zuxnwj4ytpnr30jn,terra1src9wvawtfl6ztxss8zu45zuxnwj4ytpnvajzq,0.74,3976729,1,10
Secure Secrets,Active,terravaloper1wzu2j73nvccghywtghku5ch59f67jykw58na64,terra1wzu2j73nvccghywtghku5ch59f67jykw5glq2x,0.96,5089565,3497,5
Active Nodes,Active,terravaloper1a9zv7n6pmkzlm3wj6c23qyejqlmyxsl5faanrv,terra1a9zv7n6pmkzlm3wj6c23qyejqlmyxsl5fj3wnl,0.19,1037005,100.54901,5
Skip Labs,Jailed,terravaloper1uqk5g0yyza95reyujg9fjydah8pxps6uu549uj,terra1uqk5g0yyza95reyujg9fjydah8pxps6uumecvp,0,1042344,2,10
coinhall.org,Active,terravaloper1ge3vqn6cjkk2xkfwpg5ussjwxvahs2f6at87yp,terra1ge3vqn6cjkk2xkfwpg5ussjwxvahs2f6aytr5j,1.71,9130001,513.876724,5
Noderunners,Active,terravaloper17utc33x2x8qxqxhynch45lfa8ecwhawjugsuw5,terra17utc33x2x8qxqxhynch45lfa8ecwhawju8up78,0.32,1668320,264,10
Phoenix,Active,terravaloper1r9rnj28lyl788sp2uaw53a5p4j95dc9gvynzh6,terra1r9rnj28lyl788sp2uaw53a5p4j95dc9gvtll8f,0.45,2405648,1,8
Red Herring | 0% Commission | 100% Uptime,Jailed,terravaloper1qdspntsxzna8l8sp4ma8x0dyk0q7cgzvfj9vgc,terra1qdspntsxzna8l8sp4ma8x0dyk0q7cgzvfaf3ct,0,0,2,0
Nodeasy,Inactive,terravaloper12qvrr6j7u3z5el5uuwg99ftx3jru5py6027gfx,terra12qvrr6j7u3z5el5uuwg99ftx3jru5py609j4e4,0,0,2,10
Everstake,Inactive,terravaloper13g7z3qq6f00qww3u4mpcs3xw5jhqwraswraapc,terra13g7z3qq6f00qww3u4mpcs3xw5jhqwraswv3q3t,0,0,6,10
OneStar,Active,terravaloper1yt7hhu4xpwe2dqg6euda5t3pvx0mhsmvap548h,terra1yt7hhu4xpwe2dqg6euda5t3pvx0mhsmvawcghy,0.42,2169857,90,5
SCV-Security,Active,terravaloper10c04ysz9uznx2mkenuk3j3esjczyqh0j783nzt,terra10c04ysz9uznx2mkenuk3j3esjczyqh0j7gawjc,1.52,9015542,1,5
Orbital Command,Active,terravaloper1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcfs5wf,terra1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcxuf76,2.38,12714849,1,5
Imperator.co,Active,terravaloper1u53qwdgafryksqnzq3k7e5eyph7jlh8kgc3va4,terra1u53qwdgafryksqnzq3k7e5eyph7jlh8kgha3dx,0.37,1975383,1,5
BTC.Secure | 100% guarantee of rewards by Staking Services Agreement,Active,terravaloper15389y60f0rk596tm38qewqycr8ztt8hshsf2mk,terra15389y60f0rk596tm38qewqycr8ztt8hshl9ht9,0.62,3383908,1,10
HEX TRUST,Active,terravaloper1hy99h5xn44jtn76dla93wsps8h2eqsxqah4zhj,terra1hy99h5xn44jtn76dla93wsps8h2eqsxqacel8p,0,1711918,1,10
